Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret
06-04-2015,28.29130363,35.51134491,172.8807983,0.016069046,0.030794533,0.006710422
07-04-2015,27.99360657,35.49422836,172.4232788,-0.010578318,-0.000482119,-0.002649953
08-04-2015,27.90252113,35.40023041,173.0056305,-0.003259099,-0.002651773,0.003371763
09-04-2015,28.11578751,35.45151138,173.7708893,0.007614204,0.001447557,0.004413563
10-04-2015,28.23575592,35.65662766,174.719162,0.004257864,0.005769152,0.005442193
13-04-2015,28.18021965,35.69081879,173.9289093,-0.001968814,0.00095844,-0.004533248
14-04-2015,28.05802917,35.59679794,174.2616577,-0.004345465,-0.002637791,0.001911301
15-04-2015,28.16467476,36.11814117,175.0435638,0.003793689,0.014539576,0.004476929
16-04-2015,28.02915955,36.03268433,174.9936523,-0.004823144,-0.00236884,-0.000285178
17-04-2015,27.71369553,35.57115555,172.9806519,-0.011318666,-0.012891353,-0.011569951
20-04-2015,28.34683418,36.67367935,174.5611725,0.02258864,0.030524242,0.009095489
21-04-2015,28.19355011,36.44291687,174.3531799,-0.005422123,-0.006312199,-0.001192227
22-04-2015,28.5734272,36.7420578,175.2099915,0.013383935,0.008174973,0.004902194
23-04-2015,28.80669022,37.04118729,175.6508179,0.008130492,0.008108376,0.002512829
24-04-2015,28.94220734,40.91281509,176.0584106,0.004693332,0.099412878,0.002317783
27-04-2015,29.46870995,41.04956055,175.3264313,0.018028029,0.003336789,-0.00416626
28-04-2015,29.00440788,42.01533127,175.8837585,-0.015881206,0.023254451,0.003173756
29-04-2015,28.57786942,41.92987061,175.1601105,-0.014815193,-0.002036107,-0.004122841
30-04-2015,27.8025589,41.57091522,173.4049377,-0.027504559,-0.008597706,-0.010070933
01-05-2015,28.64673805,41.58800888,175.2848358,0.029911518,0.000411108,0.010782744
04-05-2015,28.59120369,41.22904205,175.783905,-0.001940474,-0.008668965,0.002843144
05-05-2015,27.94695473,40.68205261,173.7708893,-0.022790868,-0.013355885,-0.011517725
06-05-2015,27.77145576,39.55389786,173.0554962,-0.006299517,-0.028122783,-0.004125373
07-05-2015,27.94322968,39.91286469,173.7458801,0.006166219,0.009034451,0.003981442
08-05-2015,28.46970177,40.81025314,176.0334473,0.018665485,0.022234657,0.013080246
11-05-2015,28.17969704,40.48549652,175.1933594,-0.01023867,-0.007989553,-0.004783744
12-05-2015,28.07931137,40.46840668,174.669281,-0.003568701,-0.000422212,-0.002995912
13-05-2015,28.11053658,40.70769501,174.7025146,0.001111418,0.005895553,0.000190248
14-05-2015,28.76639175,41.63928604,176.5242767,0.023063279,0.022626956,0.010373801
15-05-2015,28.72624397,41.28032303,176.7155762,-0.001396624,-0.008658151,0.001083114
18-05-2015,29.04302979,41.0324707,177.2645874,0.010967387,-0.006022225,0.003101934
19-05-2015,29.01625061,40.92924881,177.2063904,-0.000922477,-0.002518784,-0.00032836
20-05-2015,29.01402855,40.92924881,177.0816193,-7.66E-05,0,-0.000704348
21-05-2015,29.31071663,40.7916069,177.5973358,0.010173748,-0.00336859,0.002908077
22-05-2015,29.56726837,40.34429169,177.1731415,0.008714747,-0.011026432,-0.002391374
26-05-2015,28.91586113,40.07762527,175.2681274,-0.022277679,-0.00663171,-0.010810497
27-05-2015,29.4557209,40.95504761,176.9318848,0.018497877,0.02165686,0.009447869
28-05-2015,29.39772415,40.81742096,176.732254,-0.001970888,-0.003366091,-0.001128929
29-05-2015,29.06310081,40.30987167,175.6342163,-0.011447905,-0.012512581,-0.006232382
01-06-2015,29.12110138,40.62816238,175.9918365,0.001993689,0.007865087,0.002034095
02-06-2015,28.9917202,40.36149597,175.8171844,-0.004452766,-0.00658522,-0.00099288
03-06-2015,29.02740288,40.3012886,176.2830048,0.001230032,-0.001492817,0.002645955
04-06-2015,28.8578701,39.879776,174.7940216,-0.005857561,-0.010514115,-0.008482424
05-06-2015,28.69946861,39.69052124,174.4945984,-0.005504142,-0.004756929,-0.001714475
08-06-2015,28.50986099,39.3378334,173.4214478,-0.00662858,-0.008925662,-0.00616904
09-06-2015,28.42508507,39.26902008,173.3966064,-0.002977995,-0.001750823,-0.000143253
10-06-2015,28.75078773,40.09483337,175.4761353,0.011393134,0.020811567,0.011921559
11-06-2015,28.68608475,39.94859314,176.0417938,-0.002253013,-0.003654026,0.003218379
12-06-2015,28.36931419,39.54428482,174.6941986,-0.011104079,-0.010172277,-0.007684423
15-06-2015,28.31354713,39.12277603,173.9455719,-0.001967687,-0.010716374,-0.004294564
16-06-2015,28.46523857,39.42386627,174.8938904,0.005343256,0.007666571,0.005437004
17-06-2015,28.39831352,39.54428482,175.176712,-0.002353883,0.003049803,0.001615798
18-06-2015,28.52770424,40.1894722,176.9984589,0.004545933,0.016183897,0.010345778
19-06-2015,28.24215698,39.65611267,176.2127075,-0.010059904,-0.013359974,-0.004449195
22-06-2015,28.46746635,39.76794434,177.115448,0.007946114,0.002816067,0.005109938
23-06-2015,28.33808517,39.49268723,177.2408295,-0.004555238,-0.006945648,0.000707658
24-06-2015,28.57901573,39.26042938,175.953537,0.008466067,-0.005898396,-0.007289461
25-06-2015,28.44293022,39.26902008,175.4185638,-0.004773102,0.000218789,-0.003045055
26-06-2015,28.2756176,38.93352509,175.3851929,-0.005899767,-0.008580208,-0.000190254
29-06-2015,27.78037643,38.1679306,171.7072754,-0.017669977,-0.019860057,-0.021193518
30-06-2015,27.98115349,37.97870255,172.0666962,0.007201306,-0.004970107,0.002091031
01-07-2015,28.24215698,38.23675156,173.4459229,0.009284596,0.006771592,0.007983697
02-07-2015,28.20646286,38.19375229,173.2870331,-0.001264659,-0.001125186,-0.000916497
06-07-2015,28.10830688,38.1851387,172.793869,-0.00348598,-0.000225549,-0.002849995
07-07-2015,28.03915405,38.10772705,173.8806,-0.002463259,-0.002029329,0.006269481
08-07-2015,27.34313774,38.05611801,170.9633331,-0.0251363,-0.001355211,-0.01691975
09-07-2015,26.78543663,38.29697037,171.2726135,-0.020607262,0.00630893,0.001807411
10-07-2015,27.50152016,38.37438583,173.4291992,0.026382951,0.002019411,0.012512924
13-07-2015,28.03245926,39.17440033,175.3433533,0.019121816,0.020633279,0.010976628
14-07-2015,28.0213089,39.24321365,176.1040344,-0.000397845,0.001755048,0.004328854
15-07-2015,28.2912426,39.36363983,176.0454865,0.009587055,0.003064015,-0.000332517
16-07-2015,28.66824722,40.13785172,177.4581146,0.013237834,0.019477279,0.007992199
17-07-2015,28.91586113,40.10342407,177.6085968,0.008600131,-0.000858103,0.000847628
20-07-2015,29.4624176,40.36149597,177.700531,0.018725199,0.006414542,0.000517489
21-07-2015,29.16794586,40.67117691,176.9984741,-0.01004511,0.007643397,-0.003958612
22-07-2015,27.93430138,39.17440033,176.6807098,-0.043214988,-0.037496177,-0.001796907
23-07-2015,27.92092323,39.66471863,175.6860962,-0.00047903,0.012438612,-0.005645346
24-07-2015,27.77368546,39.51847076,173.8638458,-0.005287338,-0.003693916,-0.010426361
27-07-2015,27.38775444,39.010952,172.8524017,-0.013993011,-0.01292575,-0.005834437
28-07-2015,27.52383041,39.00235748,174.9755707,0.004956195,-0.000220335,0.012208307
29-07-2015,27.43682861,39.81957245,176.1792145,-0.003165969,0.020736469,0.006855373
30-07-2015,27.29852295,40.32709122,176.2210236,-0.005053624,0.01266492,0.000237282
31-07-2015,27.05983162,40.17225266,175.953537,-0.008782196,-0.003846957,-0.001519057
03-08-2015,26.42180824,40.26687622,175.3600769,-0.023860661,0.002352676,-0.003378524
04-08-2015,25.57409859,40.89483643,175.017334,-0.032609673,0.015474605,-0.001956422
05-08-2015,25.74364281,40.92924881,175.5941162,0.00660765,0.000841131,0.003290153
06-08-2015,25.79966354,40.10342407,174.1563721,0.002173735,-0.020383218,-0.008221588
07-08-2015,25.88705635,40.20666122,173.8220978,0.003381638,0.002570965,-0.001921236
10-08-2015,26.82824135,40.71417999,176.012085,0.035712025,0.012543751,0.012520308
11-08-2015,25.4321537,39.92279053,174.4238434,-0.053440847,-0.019629082,-0.009064439
12-08-2015,25.82431602,40.20666122,174.6329193,0.015302262,0.007085332,0.001197948
13-08-2015,25.80414581,40.19805527,174.4155579,-0.00078136,-0.000214066,-0.001245451
14-08-2015,25.98565865,40.43032074,175.0507965,0.007009626,0.005761399,0.003635482
17-08-2015,26.25457191,40.70557022,176.0287933,0.010295346,0.006784927,0.005571382
18-08-2015,26.10666656,40.93071747,175.5189514,-0.005649436,0.005515876,-0.002900558
