Date,AAPL_RESID,MSFT_RESID,SPY_RESID
05-01-2015,-0.029290329,-0.010014545,-0.018274779
06-01-2015,-0.00233039,-0.016932547,-0.012081675
07-01-2015,0.013164073,0.009427407,0.011616963
08-01-2015,0.036541048,0.029089694,0.018743419
09-01-2015,0.000748759,-0.006163651,-0.007969435
12-01-2015,-0.024533592,-0.014201749,-0.009212371
13-01-2015,0.007452402,-0.006722464,-0.004073908
14-01-2015,-0.002318774,-0.010178312,-0.005897408
15-01-2015,-0.030974337,-0.013918804,-0.011128015
16-01-2015,-0.009581123,0.014062028,0.012761934
20-01-2015,0.024237076,0.003470676,0.002375526
21-01-2015,0.006773575,-0.010677657,0.004621541
22-01-2015,0.02384731,0.023515178,0.014108782
23-01-2015,0.006570385,0.004223172,-0.004053301
26-01-2015,0.001248007,-0.004891785,-0.000245998
27-01-2015,-0.036137778,-0.098028469,-0.012309878
28-01-2015,0.053886677,-0.04734581,-0.015249985
29-01-2015,0.031436616,0.010921669,0.007936932
30-01-2015,-0.014472475,-0.039339022,-0.01115266
02-02-2015,0.009913476,0.010386197,0.008855568
03-02-2015,0.005182863,0.011316973,0.01682177
04-02-2015,0.003790398,0.004350676,-0.004443573
05-02-2015,0.008297368,0.013792635,0.008578109
06-02-2015,-0.009756873,0.001776041,-0.001197169
09-02-2015,0.006033359,-0.003024926,-0.006929782
10-02-2015,0.018448566,0.00579131,0.010913563
11-02-2015,0.023308567,-0.00589294,0.000586426
12-02-2015,0.012090175,0.015217355,0.008692887
13-02-2015,0.005960916,0.018663996,0.004652792
17-02-2015,0.005818802,0.00244373,0.000925666
18-02-2015,0.007604187,-0.00214586,-0.000488519
19-02-2015,-0.002901806,-0.000301222,-0.000890119
20-02-2015,0.007702336,0.006783997,0.004859624
23-02-2015,0.02615151,0.006762761,0.000488766
24-02-2015,-0.005600732,-0.001683711,0.001477252
25-02-2015,-0.027453546,-0.003053448,-0.000666154
26-02-2015,0.011905046,0.000521689,-0.00202391
27-02-2015,-0.015077352,-0.005614203,-0.004169784
02-03-2015,0.00171504,-0.001153673,0.005948573
03-03-2015,0.001212062,-0.01482842,-0.004575989
04-03-2015,-0.006631484,-0.007902479,-0.004699421
05-03-2015,-0.019396319,-0.001165984,-0.000390631
06-03-2015,0.001371188,-0.018534055,-0.013519533
09-03-2015,0.001991276,0.00728189,0.001263299
10-03-2015,-0.021363484,-0.018869011,-0.01507177
11-03-2015,-0.02172771,-0.005025119,-0.005075836
12-03-2015,0.017517015,-0.025221756,0.012387046
13-03-2015,-0.008485529,0.005469326,-0.004589022
16-03-2015,0.008928774,0.001978921,0.009885794
17-03-2015,0.015977408,0.004177572,0.000114085
18-03-2015,0.012195159,0.016227263,0.008800321
19-03-2015,-0.009241227,-0.001100419,-0.002818896
20-03-2015,-0.011731262,0.010854883,0.007375667
23-03-2015,0.008346908,0.002026937,-0.00248063
24-03-2015,-0.003587407,-0.00043529,-0.004725402
25-03-2015,-0.029338096,-0.03474107,-0.018366305
26-03-2015,0.005598872,-0.010884379,-0.000871979
27-03-2015,-0.008715504,-0.008969611,-0.001033995
30-03-2015,0.022744765,-0.002246631,0.014573297
31-03-2015,-0.016094807,-0.010709722,-0.01074688
01-04-2015,-0.002195983,0.000794301,-0.003470804
02-04-2015,0.00686675,-0.013166927,0.001923614
06-04-2015,0.017417302,0.029544191,0.007533232
07-04-2015,-0.013526191,0.000673873,-0.003554704
08-04-2015,-0.002280369,-0.001933281,0.002903574
09-04-2015,0.005442997,-0.001116133,0.004086736
10-04-2015,0.005398518,0.007612011,0.005283081
13-04-2015,-0.005045513,-0.001791156,-0.004873882
14-04-2015,-0.00345384,-0.001545389,0.000964134
15-04-2015,0.001603289,0.011709943,0.004175823
16-04-2015,-0.004478965,-0.000110734,-0.000270182
17-04-2015,-0.013726596,-0.015216519,-0.012718675
20-04-2015,0.021941516,0.028910018,0.008108548
21-04-2015,-0.005881863,-0.003996637,-0.000921169
22-04-2015,0.011980455,0.006838264,0.00426844
23-04-2015,0.007780566,0.007729632,0.001850169
24-04-2015,0.005526812,0.10144697,0.002831687
27-04-2015,0.016043451,0.013086468,-0.005836775
28-04-2015,-0.013798214,0.02722272,0.003598323
29-04-2015,-0.017752851,-8.24E-05,-0.005511061
30-04-2015,-0.027296564,-0.003356017,-0.009947172
01-05-2015,0.02690699,-0.006336536,0.008501062
04-05-2015,-0.002278907,-0.004713951,0.004579486
05-05-2015,-0.024961559,-0.020134571,-0.013032274
06-05-2015,-0.008498098,-0.027712374,-0.005489489
07-05-2015,0.007098167,0.001145685,0.003983402
08-05-2015,0.015408237,0.023372422,0.012228689
11-05-2015,-0.009851023,-0.0087416,-0.003604653
12-05-2015,-0.005722051,-0.001257096,-0.005120917
13-05-2015,0.001517268,0.004826667,0.000200794
14-05-2015,0.021869217,0.023285077,0.009873591
15-05-2015,-0.001822309,-0.008084586,0.001033555
18-05-2015,0.010154038,-0.006449257,0.002961434
19-05-2015,-0.00086677,-0.004897653,-0.00147441
20-05-2015,2.59E-05,-2.60E-05,-0.000217099
21-05-2015,0.008453847,-0.006394595,0.001079929
22-05-2015,0.009613292,-0.011338323,-0.001380624
26-05-2015,-0.024089087,-0.010335299,-0.012782833
27-05-2015,0.017803969,0.020398898,0.008896681
28-05-2015,-0.002214076,-0.003024691,-0.000832212
29-05-2015,-0.012382706,-0.013277431,-0.007198462
01-06-2015,-0.000662116,0.004859278,0.000915699
02-06-2015,-0.003087937,-0.005500791,-0.000704145
03-06-2015,-0.00228724,-0.004832345,0.001349121
04-06-2015,-0.005484483,-0.011217034,-0.008247515
05-06-2015,-0.00781413,-0.007424877,-0.00338658
08-06-2015,-0.007198062,-0.011085264,-0.0064612
09-06-2015,-0.00486758,-0.004116782,-0.000920634
10-06-2015,0.010281982,0.01863321,0.01094738
11-06-2015,-0.003213126,-0.002016448,0.004652835
12-06-2015,-0.012268336,-0.011880767,-0.009547993
15-06-2015,-0.003276369,-0.012406009,-0.004473308
16-06-2015,0.004885094,0.005551721,0.004150127
17-06-2015,-0.004012162,0.001834468,0.002088145
18-06-2015,0.003458286,0.015620114,0.009470196
19-06-2015,-0.010784668,-0.01282176,-0.004085364
22-06-2015,0.006788818,0.001374703,0.004082274
23-06-2015,-0.00540373,-0.008367423,0.000293237
24-06-2015,0.007550528,-0.006683434,-0.007020706
25-06-2015,-0.006034252,-0.003463579,-0.005548249
26-06-2015,-0.006075054,-0.008279996,0.000867146
29-06-2015,-0.019859556,-0.023774239,-0.02316487
30-06-2015,0.006685416,-0.007623915,0.000814506
01-07-2015,0.007120491,0.003516668,0.007712561
02-07-2015,-0.001347368,-0.001373449,-0.00036814
06-07-2015,-0.005930708,-0.002629779,-0.004581166
07-07-2015,-0.001631693,-0.002232313,0.006539826
08-07-2015,-0.027273366,-0.003089628,-0.017592705
09-07-2015,-0.022026636,0.005270432,6.58E-05
10-07-2015,0.023564584,0.001437087,0.012443525
13-07-2015,0.019379158,0.020043243,0.011921205
14-07-2015,-0.002748084,0.003256088,0.003331078
15-07-2015,0.009797663,0.003174097,0.000333678
16-07-2015,0.014031184,0.018845129,0.006285579
17-07-2015,0.008443891,0.001834844,0.002013011
20-07-2015,0.018215873,0.004802918,-0.000972655
21-07-2015,-0.009168244,0.008564899,-0.004069406
22-07-2015,-0.044364561,-0.037322092,-0.002577518
23-07-2015,-0.002632056,0.006759648,-0.00666438
24-07-2015,-0.00588796,-0.003580473,-0.010652662
27-07-2015,-0.017349394,-0.014688991,-0.008016662
28-07-2015,0.002183925,-0.004655516,0.012534568
29-07-2015,-0.003054146,0.021389757,0.006645198
30-07-2015,-0.007619799,0.012031793,0.000437038
31-07-2015,-0.009568379,-0.001788607,-0.002741333
03-08-2015,-0.025322645,0.000503734,-0.003437161
04-08-2015,-0.034961024,0.016522775,-0.0031931
05-08-2015,0.003793854,0.00084863,0.003028774
06-08-2015,0.00062568,-0.020402367,-0.00856796
07-08-2015,0.000785181,-0.001176363,-0.003337719
10-08-2015,0.034316421,0.012333769,0.012261848
11-08-2015,-0.051696622,-0.020184869,-0.008454237
12-08-2015,0.011111699,0.003598734,-0.000885257
13-08-2015,0.000847067,-0.000349205,-0.000951919
14-08-2015,0.00545793,0.004859262,0.002957203
17-08-2015,0.006854974,0.005316108,0.004846529
18-08-2015,-0.002699032,0.00678818,-0.002113527
19-08-2015,-0.016918616,-0.01535656,-0.01014709
20-08-2015,-0.019132795,-0.021954601,-0.020891053
21-08-2015,-0.067179143,-0.063062142,-0.033748656
24-08-2015,-0.028099374,-0.041043673,-0.044714977
25-08-2015,0.00156591,-0.037813633,-0.015498076
26-08-2015,0.054009422,0.04767598,0.037550381
27-08-2015,0.026606238,0.028986357,0.02771918
28-08-2015,0.005489473,0.00492002,-0.000877662
31-08-2015,-0.005228361,-0.011169948,-0.008297383
01-09-2015,-0.042542934,-0.037220226,-0.031808714
02-09-2015,0.037230602,0.027405846,0.016059763
03-09-2015,-0.015071499,0.007670667,0.003016287
04-09-2015,-0.014772743,-0.023225832,-0.016675096
08-09-2015,0.026508705,0.026438977,0.022315505
09-09-2015,-0.017057339,-0.014880365,-0.009480859
10-09-2015,0.016587387,0.000725331,0.0004386
11-09-2015,0.017384255,0.004031063,0.006933697
14-09-2015,0.008214948,-0.009523266,-0.00467257
15-09-2015,0.008003927,0.01740516,0.010503633
16-09-2015,0.00229484,0.010644436,0.011415731
