Date,AAPL,MSFT,SPY
12-06-2015,28.36931419,39.54428482,174.6941986
15-06-2015,28.31354713,39.12277603,173.9455719
16-06-2015,28.46523857,39.42386627,174.8938904
17-06-2015,28.39831352,39.54428482,175.176712
18-06-2015,28.52770424,40.1894722,176.9984589
19-06-2015,28.24215698,39.65611267,176.2127075
22-06-2015,28.46746635,39.76794434,177.115448
23-06-2015,28.33808517,39.49268723,177.2408295
24-06-2015,28.57901573,39.26042938,175.953537
25-06-2015,28.44293022,39.26902008,175.4185638
26-06-2015,28.2756176,38.93352509,175.3851929
29-06-2015,27.78037643,38.1679306,171.7072754
30-06-2015,27.98115349,37.97870255,172.0666962
01-07-2015,28.24215698,38.23675156,173.4459229
02-07-2015,28.20646286,38.19375229,173.2870331
06-07-2015,28.10830688,38.1851387,172.793869
07-07-2015,28.03915405,38.10772705,173.8806
08-07-2015,27.34313774,38.05611801,170.9633331
09-07-2015,26.78543663,38.29697037,171.2726135
10-07-2015,27.50152016,38.37438583,173.4291992
13-07-2015,28.03245926,39.17440033,175.3433533
14-07-2015,28.0213089,39.24321365,176.1040344
15-07-2015,28.2912426,39.36363983,176.0454865
16-07-2015,28.66824722,40.13785172,177.4581146
17-07-2015,28.91586113,40.10342407,177.6085968
20-07-2015,29.4624176,40.36149597,177.700531
21-07-2015,29.16794586,40.67117691,176.9984741
22-07-2015,27.93430138,39.17440033,176.6807098
23-07-2015,27.92092323,39.66471863,175.6860962
24-07-2015,27.77368546,39.51847076,173.8638458
27-07-2015,27.38775444,39.010952,172.8524017
28-07-2015,27.52383041,39.00235748,174.9755707
29-07-2015,27.43682861,39.81957245,176.1792145
30-07-2015,27.29852295,40.32709122,176.2210236
31-07-2015,27.05983162,40.17225266,175.953537
03-08-2015,26.42180824,40.26687622,175.3600769
04-08-2015,25.57409859,40.89483643,175.017334
05-08-2015,25.74364281,40.92924881,175.5941162
06-08-2015,25.79966354,40.10342407,174.1563721
07-08-2015,25.88705635,40.20666122,173.8220978
10-08-2015,26.82824135,40.71417999,176.012085
11-08-2015,25.4321537,39.92279053,174.4238434
12-08-2015,25.82431602,40.20666122,174.6329193
13-08-2015,25.80414581,40.19805527,174.4155579
14-08-2015,25.98565865,40.43032074,175.0507965
17-08-2015,26.25457191,40.70557022,176.0287933
18-08-2015,26.10666656,40.93071747,175.5189514
19-08-2015,25.77277184,40.35923767,174.1313324
20-08-2015,25.24392509,39.53663254,170.4952087
21-08-2015,23.69992638,37.29397202,165.3629303
24-08-2015,23.10832787,36.09038925,158.4000092
25-08-2015,23.24726105,35.04265976,156.535965
26-08-2015,24.58061028,36.98225784,162.54599
27-08-2015,25.30441856,38.01266861,166.5665436
28-08-2015,25.38733673,38.0386467,166.5749207
31-08-2015,25.26856804,37.68361664,165.2291412
01-09-2015,24.1391468,36.21162033,160.2974548
02-09-2015,25.17444038,37.54507446,163.3400421
03-09-2015,24.73299026,37.66630173,163.4571381
04-09-2015,24.48648453,36.89564896,160.9828796
08-09-2015,25.16772079,38.00400162,165.0285645
09-09-2015,24.68368149,37.29397202,162.8217926
10-09-2015,25.2259903,37.48446655,163.7078552
11-09-2015,25.59350777,37.64899063,164.4518127
14-09-2015,25.84000397,37.26800919,163.8415833
15-09-2015,26.05737305,38.08193588,165.8895111
16-09-2015,26.08650398,38.35902786,167.3272095
17-09-2015,25.52851486,38.3157196,166.9510803
18-09-2015,25.42319107,37.64899063,164.2228241
21-09-2015,25.81759262,38.19451523,165.0714722
22-09-2015,25.41198921,38.01266861,162.9289093
23-09-2015,25.6181488,37.98667908,162.6684418
24-09-2015,25.77052689,38.02132797,162.0802765
25-09-2015,25.70554924,38.04730225,162.0382385
28-09-2015,25.19685364,37.48446655,157.9715576
29-09-2015,24.43942833,37.61436081,158.0639648
30-09-2015,24.71730042,38.32440186,161.0132294
01-10-2015,24.55595398,38.62744522,161.4332886
02-10-2015,24.73522949,39.45870972,163.8447418
05-10-2015,24.82486725,40.37654495,166.7604065
06-10-2015,24.94363403,40.48046875,166.1889801
07-10-2015,24.82486725,40.52374649,167.5502167
08-10-2015,24.53802681,41.08658981,169.0626373
09-10-2015,25.12513924,40.79217529,169.1633911
12-10-2015,25.00862122,40.69692993,169.3230438
13-10-2015,25.05120087,40.60168076,168.2559662
14-10-2015,24.69713593,40.4198494,167.4493256
15-10-2015,25.06688309,40.70558167,170.0204315
16-10-2015,24.88312912,41.13853073,170.793457
19-10-2015,25.03775024,41.23379135,170.8774567
20-10-2015,25.49490166,41.36366653,170.6590576
21-10-2015,25.49266052,40.87011719,169.6003876
22-10-2015,25.88258362,41.58879471,172.4654999
23-10-2015,26.6848278,45.77970505,174.3560181
26-10-2015,25.83327675,46.97464371,173.927536
27-10-2015,25.6696949,46.48974991,173.5914154
28-10-2015,26.72740555,46.74085617,175.565979
29-10-2015,27.00975418,46.20401001,175.4651184
30-10-2015,26.7789402,45.58055878,174.7089081
02-11-2015,27.15541649,46.10009766,176.7758484
03-11-2015,27.46690369,46.88806152,177.2884674
