Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret,roll_mean_aapl,roll_mean_msft,roll_mean_spy,roll_var_aapl,roll_var_msft,roll_var_spy,corr_aapl_msft,corr_aapl_spy,corr_msft_spy
18-12-2017,41.23950958,79.09363556,236.0604706,0.013984978,-0.005426478,0.006321172,0.001458079,0.001786139,0.001974845,9.67E-05,0.000198617,1.76E-05,0.436003817,0.474552276,0.549197003
19-12-2017,40.8000412,78.59001923,235.1539459,-0.010713676,-0.006387701,-0.003847615,0.001213022,0.00194205,0.001931765,0.000101621,0.000195379,1.81E-05,0.435972743,0.498861386,0.539088267
20-12-2017,40.75564194,78.30618286,235.0306854,-0.001088809,-0.003618146,-0.000524307,0.001208778,0.00169469,0.001825617,0.000101641,0.000196854,1.84E-05,0.438523817,0.500849074,0.543674777
21-12-2017,40.90989304,78.28786469,235.5147095,0.003777635,-0.000233957,0.00205729,0.000511526,0.001001832,0.001613033,8.66E-05,0.000188571,1.73E-05,0.394389549,0.452440544,0.5186066
22-12-2017,40.90989304,78.29701996,235.4531555,0,0.000116937,-0.000261394,1.36E-05,0.001355649,0.001642732,8.15E-05,0.000185022,1.71E-05,0.446020244,0.503465131,0.508477566
26-12-2017,39.87203217,78.19630432,235.1714783,-0.025696787,-0.001287156,-0.001197036,-0.001212785,0.001208466,0.001475857,0.000112929,0.000185338,1.75E-05,0.400648393,0.500571715,0.508781153
27-12-2017,39.87904739,78.48017883,235.2859497,0.000175928,0.003623707,0.000486639,-0.000964301,0.001033425,0.001522808,0.000112227,0.000183742,1.73E-05,0.413247747,0.493868865,0.521866592
28-12-2017,39.99123764,78.48930359,235.77005,0.002809313,0.000116262,0.002055384,-0.000550732,0.00046895,0.001140039,0.000111553,0.000177469,1.35E-05,0.441355848,0.621965128,0.500430467
29-12-2017,39.55877686,78.32448578,234.8809967,-0.010872783,-0.002102084,-0.003777977,-7.03E-05,0.001240734,0.000989137,9.58E-05,0.000159543,1.45E-05,0.354863304,0.66908946,0.490295741
02-01-2018,40.2670784,78.69991302,236.5621948,0.017746634,0.004781779,0.007132165,0.000113474,0.000996541,0.000913657,0.000101904,0.000156349,1.34E-05,0.325016156,0.677449182,0.465471464
