"Date","AAPL_vol","MSFT_vol","SPY_vol"
"21-05-2015",0.013694879,0.016382243,0.00634400367964899
"22-05-2015",0.013444368,0.015633948,0.00596877049086874
"26-05-2015",0.013301017,0.015304203,0.00586194028044995
"27-05-2015",0.01494273,0.014926564,0.00821470719523733
"28-05-2015",0.015399876,0.015810447,0.00771302595829658
"29-05-2015",0.014748601,0.014990565,0.00734566530667928
"01-06-2015",0.014676934,0.01493021,0.00821255412137614
"02-06-2015",0.01407034,0.014250318,0.00765962161703078
"03-06-2015",0.013549567,0.013664817,0.00727525793830602
"04-06-2015",0.013058434,0.013106482,0.00681548057878297
"05-06-2015",0.012711474,0.013081848,0.00796511806242143
"08-06-2015",0.012525545,0.012732384,0.00802853646247933
"09-06-2015",0.012321788,0.012744878,0.0086693387262651
"10-06-2015",0.012021425,0.012248417,0.00822280908087926
"11-06-2015",0.012101924,0.013373228,0.00773360919194668
"12-06-2015",0.011765918,0.01275381,0.00725136664134799
"15-06-2015",0.01207006,0.012848775,0.00862335841790309
"16-06-2015",0.011738926,0.01298918,0.0088187462987752
"17-06-2015",0.01149863,0.0125346,0.00822645723302761
"18-06-2015",0.011248284,0.011991877,0.00767969823880182
"19-06-2015",0.011004637,0.012693071,0.00723385191405032
"22-06-2015",0.0112685,0.012904988,0.00750239589614838
"23-06-2015",0.011179483,0.012319451,0.00703867252321078
"24-06-2015",0.011022919,0.012131156,0.00659434612794115
"25-06-2015",0.011013067,0.011838621,0.00751324545135469
"26-06-2015",0.010908584,0.011409794,0.00803271905179747
"29-06-2015",0.01081834,0.011328828,0.007497063967283
"30-06-2015",0.012319045,0.013646041,0.0122995586881818
"01-07-2015",0.012107693,0.013247642,0.0113194319527187
"02-07-2015",0.01194469,0.012679322,0.0104897210571478
"06-07-2015",0.011586615,0.012115302,0.00976125947571244
"07-07-2015",0.011412797,0.011631891,0.00985353030392219
"08-07-2015",0.011109797,0.011187131,0.00917109826540498
