Date,MSFT_vol
09-11-2015,0.021124767
10-11-2015,0.020388786
11-11-2015,0.019793942
12-11-2015,0.018605679
13-11-2015,0.017669456
16-11-2015,0.017183658
17-11-2015,0.017080703
18-11-2015,0.016335398
19-11-2015,0.016236599
20-11-2015,0.015364664
23-11-2015,0.014657829
24-11-2015,0.013913636
25-11-2015,0.013245791
27-11-2015,0.013376218
30-11-2015,0.01279989
01-12-2015,0.012373008
02-12-2015,0.013194556
03-12-2015,0.012573788
04-12-2015,0.013467337
07-12-2015,0.015868014
08-12-2015,0.015023565
09-12-2015,0.014260391
10-12-2015,0.014525723
11-12-2015,0.01384078
14-12-2015,0.015589503
15-12-2015,0.015865433
16-12-2015,0.015005007
17-12-2015,0.015458534
18-12-2015,0.014944531
21-12-2015,0.01700983
22-12-2015,0.01617376
23-12-2015,0.015844482
24-12-2015,0.015113231
28-12-2015,0.014324904
29-12-2015,0.013660799
30-12-2015,0.013531577
31-12-2015,0.012953488
04-01-2016,0.013560786
05-01-2016,0.013905287
06-01-2016,0.013232328
07-01-2016,0.014348438
08-01-2016,0.019218343
11-01-2016,0.018109499
12-01-2016,0.017071375
13-01-2016,0.016252812
14-01-2016,0.017197546
15-01-2016,0.018407473
19-01-2016,0.022029422
20-01-2016,0.021170641
21-01-2016,0.019871484
22-01-2016,0.018740569
25-01-2016,0.020280317
26-01-2016,0.019080898
27-01-2016,0.017984596
28-01-2016,0.017869338
29-01-2016,0.017432903
01-02-2016,0.025572968
02-02-2016,0.023930238
03-02-2016,0.025262168
04-02-2016,0.024476767
05-02-2016,0.023015179
08-02-2016,0.02552851
09-02-2016,0.025026095
10-02-2016,0.02354403
11-02-2016,0.022172352
12-02-2016,0.020811649
16-02-2016,0.020312404
17-02-2016,0.020185452
18-02-2016,0.021371517
19-02-2016,0.020075147
22-02-2016,0.018988008
23-02-2016,0.018486454
24-02-2016,0.019597165
25-02-2016,0.018443021
26-02-2016,0.018042619
29-02-2016,0.017783223
01-03-2016,0.017280704
02-03-2016,0.019677268
03-03-2016,0.018772811
04-03-2016,0.018095736
07-03-2016,0.017272723
08-03-2016,0.017674437
09-03-2016,0.016845517
10-03-2016,0.017776787
11-03-2016,0.017422513
14-03-2016,0.017415514
15-03-2016,0.016485355
16-03-2016,0.015790193
17-03-2016,0.015632141
18-03-2016,0.015071123
21-03-2016,0.016336621
22-03-2016,0.015530908
23-03-2016,0.014726147
24-03-2016,0.013978187
28-03-2016,0.013295484
29-03-2016,0.013239798
30-03-2016,0.014027787
31-03-2016,0.013658021
01-04-2016,0.013026225
04-04-2016,0.012584579
05-04-2016,0.012032482
06-04-2016,0.013039124
07-04-2016,0.012725152
08-04-2016,0.012900019
11-04-2016,0.012354894
12-04-2016,0.011902309
13-04-2016,0.011588185
14-04-2016,0.011727376
15-04-2016,0.011271054
18-04-2016,0.010897774
19-04-2016,0.011796622
20-04-2016,0.011312867
21-04-2016,0.011999015
22-04-2016,0.011493164
25-04-2016,0.02808502
26-04-2016,0.026305945
27-04-2016,0.025155017
28-04-2016,0.023977553
29-04-2016,0.024319969
02-05-2016,0.022777439
03-05-2016,0.021594532
04-05-2016,0.020794072
05-05-2016,0.019577618
06-05-2016,0.018435106
09-05-2016,0.017497222
10-05-2016,0.016618943
11-05-2016,0.016741701
12-05-2016,0.01582306
13-05-2016,0.015252062
16-05-2016,0.014741221
17-05-2016,0.014789794
18-05-2016,0.015519422
19-05-2016,0.014754861
20-05-2016,0.014575988
23-05-2016,0.013959602
24-05-2016,0.014222127
25-05-2016,0.017169567
26-05-2016,0.016579967
27-05-2016,0.015662759
31-05-2016,0.014906851
01-06-2016,0.015253124
02-06-2016,0.014539395
03-06-2016,0.013951607
06-06-2016,0.014419516
07-06-2016,0.013807772
08-06-2016,0.013165828
09-06-2016,0.012555136
10-06-2016,0.012554885
13-06-2016,0.012047268
14-06-2016,0.015369539
15-06-2016,0.014933355
16-06-2016,0.014340125
17-06-2016,0.014337563
20-06-2016,0.013809512
21-06-2016,0.013136933
22-06-2016,0.01423724
23-06-2016,0.013520743
24-06-2016,0.013881627
27-06-2016,0.018644048
28-06-2016,0.021220665
29-06-2016,0.020596319
30-06-2016,0.020938541
01-07-2016,0.020051882
05-07-2016,0.018855677
06-07-2016,0.0177433
07-07-2016,0.016782833
08-07-2016,0.015844986
11-07-2016,0.016084822
12-07-2016,0.01537759
13-07-2016,0.015143949
14-07-2016,0.014503422
15-07-2016,0.01388537
18-07-2016,0.013211455
19-07-2016,0.012703196
20-07-2016,0.013529789
21-07-2016,0.021427308
22-07-2016,0.020125553
25-07-2016,0.019540742
26-07-2016,0.018395696
27-07-2016,0.017372523
28-07-2016,0.017093981
29-07-2016,0.01613587
01-08-2016,0.015324293
02-08-2016,0.014510828
03-08-2016,0.013823219
04-08-2016,0.013427748
05-08-2016,0.012938137
08-08-2016,0.012908942
09-08-2016,0.012321725
10-08-2016,0.011827481
11-08-2016,0.011431677
12-08-2016,0.011084209
15-08-2016,0.010973244
16-08-2016,0.010592009
17-08-2016,0.010516962
18-08-2016,0.010167866
19-08-2016,0.009857498
22-08-2016,0.009572248
23-08-2016,0.009328093
24-08-2016,0.009201571
25-08-2016,0.008990627
26-08-2016,0.008895062
29-08-2016,0.008803403
30-08-2016,0.008640775
31-08-2016,0.008674708
01-09-2016,0.009003933
02-09-2016,0.008816492
06-09-2016,0.008656083
07-09-2016,0.008558735
08-09-2016,0.008423171
09-09-2016,0.008485517
12-09-2016,0.011522962
13-09-2016,0.011678011
14-09-2016,0.011607028
15-09-2016,0.011419928
16-09-2016,0.011982913
19-09-2016,0.011528137
20-09-2016,0.011391561
21-09-2016,0.010979284
22-09-2016,0.011775808
23-09-2016,0.011312963
26-09-2016,0.011199191
27-09-2016,0.011390035
28-09-2016,0.012340436
29-09-2016,0.011816368
30-09-2016,0.011998857
03-10-2016,0.011494658
04-10-2016,0.011076912
05-10-2016,0.01084303
06-10-2016,0.010642744
07-10-2016,0.010281995
10-10-2016,0.009950208
11-10-2016,0.009718266
12-10-2016,0.010751823
13-10-2016,0.010485931
14-10-2016,0.010256866
17-10-2016,0.010216193
18-10-2016,0.010000045
19-10-2016,0.009981336
20-10-2016,0.009734619
21-10-2016,0.009630426
24-10-2016,0.016327828
25-10-2016,0.018094735
26-10-2016,0.017051929
27-10-2016,0.016190312
28-10-2016,0.015606415
31-10-2016,0.014927013
01-11-2016,0.014151531
02-11-2016,0.013498128
03-11-2016,0.013120505
04-11-2016,0.012659755
07-11-2016,0.012582621
08-11-2016,0.015053012
09-11-2016,0.01429936
10-11-2016,0.013705179
11-11-2016,0.015914015
14-11-2016,0.015080488
15-11-2016,0.015563003
16-11-2016,0.015893559
17-11-2016,0.01561641
18-11-2016,0.016207315
21-11-2016,0.01543815
22-11-2016,0.015040202
23-11-2016,0.014277286
25-11-2016,0.013981807
28-11-2016,0.013313697
29-11-2016,0.012711524
30-11-2016,0.012265262
01-12-2016,0.012544249
02-12-2016,0.01400768
05-12-2016,0.013330755
06-12-2016,0.013654145
07-12-2016,0.013075481
08-12-2016,0.014568259
09-12-2016,0.013875264
12-12-2016,0.014148505
13-12-2016,0.013498518
14-12-2016,0.013760175
15-12-2016,0.013229598
16-12-2016,0.012606995
19-12-2016,0.012308555
20-12-2016,0.013880644
21-12-2016,0.013209986
22-12-2016,0.012589603
23-12-2016,0.012048977
27-12-2016,0.011605368
28-12-2016,0.011187117
29-12-2016,0.01084978
30-12-2016,0.010576146
03-01-2017,0.011098801
04-01-2017,0.01075234
05-01-2017,0.010489953
06-01-2017,0.010160947
09-01-2017,0.010162025
10-01-2017,0.009887479
11-01-2017,0.009629698
12-01-2017,0.009824167
13-01-2017,0.010066232
17-01-2017,0.009760293
18-01-2017,0.009568258
19-01-2017,0.009331246
20-01-2017,0.009277461
23-01-2017,0.009308876
24-01-2017,0.009125183
25-01-2017,0.009443038
26-01-2017,0.009231372
27-01-2017,0.009610848
30-01-2017,0.01225816
31-01-2017,0.011966342
01-02-2017,0.011941071
02-02-2017,0.012962862
