Date,AAPL_vol
05-01-2015,0.01805427
06-01-2015,0.019556327
07-01-2015,0.018578151
08-01-2015,0.018152339
09-01-2015,0.02083812
12-01-2015,0.019751287
13-01-2015,0.020314567
14-01-2015,0.019411341
15-01-2015,0.01844401
16-01-2015,0.020131705
20-01-2015,0.019339146
21-01-2015,0.019926405
22-01-2015,0.019028948
23-01-2015,0.019613796
26-01-2015,0.018734231
27-01-2015,0.017807687
28-01-2015,0.020502617
29-01-2015,0.0259595
30-01-2015,0.026480906
02-02-2015,0.02541363
03-02-2015,0.024205136
04-02-2015,0.022933776
05-02-2015,0.021727021
06-02-2015,0.020743576
09-02-2015,0.01990751
10-02-2015,0.018986142
11-02-2015,0.018973513
12-02-2015,0.019500293
13-02-2015,0.018909618
17-02-2015,0.018065829
18-02-2015,0.017286103
19-02-2015,0.016644809
20-02-2015,0.015903071
23-02-2015,0.015391545
24-02-2015,0.016926749
25-02-2015,0.016234462
26-02-2015,0.017805523
27-02-2015,0.017366848
02-03-2015,0.017227477
03-03-2015,0.016421883
04-03-2015,0.015675671
05-03-2015,0.015133729
06-03-2015,0.015755594
09-03-2015,0.015064662
10-03-2015,0.014438114
11-03-2015,0.015438619
12-03-2015,0.016315542
13-03-2015,0.016546927
16-03-2015,0.01601677
17-03-2015,0.015561671
18-03-2015,0.015730338
19-03-2015,0.015531105
20-03-2015,0.015142371
23-03-2015,0.014971491
24-03-2015,0.014584244
25-03-2015,0.014030692
26-03-2015,0.016412944
27-03-2015,0.015764353
30-03-2015,0.015321172
31-03-2015,0.016359579
01-04-2015,0.01643749
02-04-2015,0.015700917
06-04-2015,0.015167367
07-04-2015,0.015546919
08-04-2015,0.01548122
09-04-2015,0.014824211
10-04-2015,0.014309607
13-04-2015,0.013840228
14-04-2015,0.013400548
15-04-2015,0.0129491
16-04-2015,0.012501222
17-04-2015,0.012167794
20-04-2015,0.012569644
21-04-2015,0.014021214
22-04-2015,0.013599039
23-04-2015,0.013630869
24-04-2015,0.013345447
27-04-2015,0.012972396
28-04-2015,0.013519908
29-04-2015,0.013736569
30-04-2015,0.014373522
01-05-2015,0.016314046
04-05-2015,0.017784325
05-05-2015,0.016941846
06-05-2015,0.018009085
07-05-2015,0.017347116
08-05-2015,0.016677727
11-05-2015,0.016649773
12-05-2015,0.016189106
13-05-2015,0.015564366
14-05-2015,0.014890543
15-05-2015,0.015881769
18-05-2015,0.015185383
19-05-2015,0.014892013
20-05-2015,0.014268509
21-05-2015,0.013694879
22-05-2015,0.013444368
26-05-2015,0.013301017
27-05-2015,0.01494273
28-05-2015,0.015399876
29-05-2015,0.014748601
01-06-2015,0.014676934
02-06-2015,0.01407034
03-06-2015,0.013549567
04-06-2015,0.013058434
05-06-2015,0.012711474
08-06-2015,0.012525545
09-06-2015,0.012321788
10-06-2015,0.012021425
11-06-2015,0.012101924
12-06-2015,0.011765918
15-06-2015,0.01207006
16-06-2015,0.011738926
17-06-2015,0.01149863
18-06-2015,0.011248284
19-06-2015,0.011004637
22-06-2015,0.0112685
23-06-2015,0.011179483
24-06-2015,0.011022919
25-06-2015,0.011013067
26-06-2015,0.010908584
29-06-2015,0.01081834
30-06-2015,0.012319045
01-07-2015,0.012107693
02-07-2015,0.01194469
06-07-2015,0.011586615
07-07-2015,0.011412797
08-07-2015,0.011109797
09-07-2015,0.01389218
10-07-2015,0.015089871
13-07-2015,0.016288951
14-07-2015,0.016734504
15-07-2015,0.015982738
16-07-2015,0.015584227
17-07-2015,0.015559775
20-07-2015,0.015120733
21-07-2015,0.015600236
22-07-2015,0.015200134
23-07-2015,0.020305156
24-07-2015,0.01927457
27-07-2015,0.018398961
28-07-2015,0.01834962
29-07-2015,0.017461898
30-07-2015,0.016657412
31-07-2015,0.016072856
03-08-2015,0.015650939
04-08-2015,0.017006927
05-08-2015,0.019681218
06-08-2015,0.018718015
07-08-2015,0.017789367
10-08-2015,0.016932721
11-08-2015,0.019508629
12-08-2015,0.024807321
13-08-2015,0.02370066
14-08-2015,0.02240699
17-08-2015,0.021275899
18-08-2015,0.020273985
19-08-2015,0.019246684
20-08-2015,0.019058447
21-08-2015,0.019105781
24-08-2015,0.028095718
25-08-2015,0.02797094
26-08-2015,0.026381616
27-08-2015,0.030286296
28-08-2015,0.029771435
31-08-2015,0.028108649
01-09-2015,0.026557619
02-09-2015,0.028505765
03-09-2015,0.029386476
04-09-2015,0.028110223
08-09-2015,0.026922954
09-09-2015,0.026774323
10-09-2015,0.025843394
11-09-2015,0.024965181
14-09-2015,0.024224811
15-09-2015,0.023042048
16-09-2015,0.021943115
17-09-2015,0.020787022
18-09-2015,0.02100306
21-09-2015,0.019967138
22-09-2015,0.019459794
23-09-2015,0.019192847
24-09-2015,0.018295158
25-09-2015,0.017529573
28-09-2015,0.016733969
29-09-2015,0.017372152
30-09-2015,0.019336928
01-10-2015,0.01855299
02-10-2015,0.017782632
05-10-2015,0.016971603
06-10-2015,0.016204525
07-10-2015,0.015540955
08-10-2015,0.014997402
09-10-2015,0.014826805
12-10-2015,0.015767144
13-10-2015,0.01511405
14-10-2015,0.014472073
15-10-2015,0.014593204
16-10-2015,0.014675728
19-10-2015,0.014321667
20-10-2015,0.01384663
21-10-2015,0.014314671
22-10-2015,0.013744537
23-10-2015,0.013801722
26-10-2015,0.016879755
27-10-2015,0.019196755
28-10-2015,0.018400315
29-10-2015,0.021684961
30-10-2015,0.020881271
02-11-2015,0.020149625
03-11-2015,0.019750868
04-11-2015,0.019106094
05-11-2015,0.018218035
06-11-2015,0.01743528
09-11-2015,0.01661114
10-11-2015,0.015945024
11-11-2015,0.018537795
12-11-2015,0.017829564
13-11-2015,0.01702223
16-11-2015,0.019199601
17-11-2015,0.018680403
18-11-2015,0.017797625
19-11-2015,0.019225947
20-11-2015,0.018711473
23-11-2015,0.017860078
24-11-2015,0.01760511
25-11-2015,0.01711882
27-11-2015,0.01657411
30-11-2015,0.015823142
01-12-2015,0.015127119
02-12-2015,0.014652708
03-12-2015,0.014612215
04-12-2015,0.014291986
07-12-2015,0.016693261
08-12-2015,0.016007926
09-12-2015,0.015321116
10-12-2015,0.01624396
11-12-2015,0.015550545
14-12-2015,0.017348645
15-12-2015,0.016721366
16-12-2015,0.01727416
17-12-2015,0.016605375
18-12-2015,0.017722128
21-12-2015,0.019072078
22-12-2015,0.018277827
23-12-2015,0.017383051
24-12-2015,0.016745131
28-12-2015,0.016017589
29-12-2015,0.015869875
30-12-2015,0.016129859
31-12-2015,0.015974533
04-01-2016,0.01675277
05-01-2016,0.015977116
06-01-2016,0.017317899
07-01-2016,0.018176731
08-01-2016,0.022395683
11-01-2016,0.02119824
12-01-2016,0.020572597
13-01-2016,0.019933823
14-01-2016,0.020928748
15-01-2016,0.021007648
19-01-2016,0.021403925
20-01-2016,0.02037562
21-01-2016,0.019327792
22-01-2016,0.018388889
25-01-2016,0.023001894
26-01-2016,0.022296393
27-01-2016,0.021104027
28-01-2016,0.0289004
29-01-2016,0.027261409
01-02-2016,0.027679706
02-02-2016,0.026265735
03-02-2016,0.026155716
04-02-2016,0.025732477
05-02-2016,0.024363752
08-02-2016,0.0245823
09-02-2016,0.02332448
10-02-2016,0.022067166
11-02-2016,0.021193501
12-02-2016,0.020193859
16-02-2016,0.019163999
17-02-2016,0.020090032
18-02-2016,0.019662467
19-02-2016,0.019666334
22-02-2016,0.018692922
23-02-2016,0.018004768
24-02-2016,0.018787594
25-02-2016,0.018258145
26-02-2016,0.017520887
29-02-2016,0.016683416
01-03-2016,0.015957624
02-03-2016,0.019807576
03-03-2016,0.018807684
04-03-2016,0.018024794
07-03-2016,0.017747929
08-03-2016,0.017125219
09-03-2016,0.016737706
10-03-2016,0.015975281
11-03-2016,0.015271559
14-03-2016,0.014959225
15-03-2016,0.014333826
16-03-2016,0.015130471
17-03-2016,0.01505893
18-03-2016,0.014421938
21-03-2016,0.013835305
22-03-2016,0.013301851
23-03-2016,0.012950253
24-03-2016,0.012618622
28-03-2016,0.012338783
29-03-2016,0.01204929
30-03-2016,0.013645729
31-03-2016,0.014208948
01-04-2016,0.013751673
04-04-2016,0.013484278
05-04-2016,0.01348454
06-04-2016,0.013607737
07-04-2016,0.013413646
08-04-2016,0.014673966
11-04-2016,0.014070569
12-04-2016,0.013530203
13-04-2016,0.013622852
14-04-2016,0.013670193
15-04-2016,0.013163192
18-04-2016,0.014522782
19-04-2016,0.015551515
20-04-2016,0.015090196
21-04-2016,0.014451105
22-04-2016,0.014549934
25-04-2016,0.014012879
26-04-2016,0.013656043
27-04-2016,0.013380195
28-04-2016,0.02494766
29-04-2016,0.02601637
02-05-2016,0.025013965
03-05-2016,0.02365866
04-05-2016,0.022650364
05-05-2016,0.021647347
06-05-2016,0.020631621
09-05-2016,0.019620097
10-05-2016,0.018626311
11-05-2016,0.017795701
12-05-2016,0.017278265
13-05-2016,0.018335309
16-05-2016,0.017434975
17-05-2016,0.020107962
18-05-2016,0.019131283
19-05-2016,0.018428658
20-05-2016,0.017541194
23-05-2016,0.017044214
24-05-2016,0.016641436
25-05-2016,0.016690334
26-05-2016,0.016715183
27-05-2016,0.016246749
31-05-2016,0.015519496
01-06-2016,0.014894841
02-06-2016,0.015108661
03-06-2016,0.014712304
06-06-2016,0.014101163
07-06-2016,0.01369226
08-06-2016,0.01318821
09-06-2016,0.012713999
10-06-2016,0.012427091
13-06-2016,0.012296991
14-06-2016,0.013064607
15-06-2016,0.012595904
