"Date","SPY_vol"
2015-01-05,0.0109592105763286
2015-01-06,0.0124625575295232
2015-01-07,0.0124500219662184
2015-01-08,0.012369224335405
2015-01-09,0.0136229032658956
2015-01-12,0.0129332772630511
2015-01-13,0.0124631072919742
2015-01-14,0.0115985841779759
2015-01-15,0.0109545582269523
2015-01-16,0.0110432151052666
2015-01-20,0.0113914822652616
2015-01-21,0.0105548396797881
2015-01-22,0.00992628565666435
2015-01-23,0.0107657399432036
2015-01-26,0.0100753463707059
2015-01-27,0.00932105045061348
2015-01-28,0.00993119159684886
2015-01-29,0.011013105100771
2015-01-30,0.0106486736587766
2015-02-02,0.0107940159288022
2015-02-03,0.0105754350876845
2015-02-04,0.0118458830546875
2015-02-05,0.0110667220521654
2015-02-06,0.0107731912344546
2015-02-09,0.0099635373668611
2015-02-10,0.0096230285835929
2015-02-11,0.00991360866223296
2015-02-12,0.00917725119462634
2015-02-13,0.00918546226855827
2015-02-17,0.00871552158527281
2015-02-18,0.00810119286819143
2015-02-19,0.00754240162406618
2015-02-20,0.00704711076227874
2015-02-23,0.00687243561096651
2015-02-24,0.00644158791904041
2015-02-25,0.00608296181881038
2015-02-26,0.00574187329944586
2015-02-27,0.00549299332036146
2015-03-02,0.00547159195838782
2015-03-03,0.00570896310489442
2015-03-04,0.00570307366891938
2015-03-05,0.00571402852051479
2015-03-06,0.00541124469227779
2015-03-09,0.00744205346297825
2015-03-10,0.00696641706242212
2015-03-11,0.00886102152082906
2015-03-12,0.00846837513506848
2015-03-13,0.00928651180040854
2015-03-16,0.00879935762873979
2015-03-17,0.00906635302373184
2015-03-18,0.00840923260309233
2015-03-19,0.00856561049240791
2015-03-20,0.00803644873623138
2015-03-23,0.00803684318385483
2015-03-24,0.00754689704548516
2015-03-25,0.00728897732968913
2015-03-26,0.00999052240056769
2015-03-27,0.00925033755719549
2015-03-30,0.00858498708145611
2015-03-31,0.00986089875988566
2015-04-01,0.010078965142255
2015-04-02,0.00942555720812525
2015-04-06,0.00876678812628858
2015-04-07,0.00867355158033826
2015-04-08,0.00817826812413511
2015-04-09,0.00769642413282154
2015-04-10,0.00735832403899839
2015-04-13,0.00718759021984293
2015-04-14,0.0069946708020251
2015-04-15,0.00655908693722468
2015-04-16,0.00637936854724759
2015-04-17,0.00600008127406544
2015-04-20,0.00759462890650287
2015-04-21,0.00778523163779745
2015-04-22,0.00726531214695023
2015-04-23,0.00699919249529164
2015-04-24,0.00659313661047443
2015-04-27,0.00629121644080618
2015-04-28,0.00636003052036855
2015-04-29,0.00615091553780856
2015-04-30,0.00619710699262175
2015-05-01,0.00705272677099199
2015-05-04,0.00741628519043184
2015-05-05,0.00716093715033524
2015-05-06,0.00846993982067344
2015-05-07,0.00816913090424465
2015-05-08,0.0077645136690964
2015-05-11,0.00872138049800692
2015-05-12,0.0082241590267019
2015-05-13,0.00791722620570283
2015-05-14,0.00737501703412447
2015-05-15,0.00793004280526602
2015-05-18,0.0073975397066645
2015-05-19,0.00700816739918344
2015-05-20,0.0065861065065124
2015-05-21,0.00618381185171431
2015-05-22,0.00584111019991817
2015-05-26,0.00554868122212985
2015-05-27,0.00731955253296666
2015-05-28,0.00770063657725395
2015-05-29,0.00718776753907039
2015-06-01,0.00730559329464274
2015-06-02,0.00683573369148396
2015-06-03,0.00641200451311789
2015-06-04,0.00605201857944276
2015-06-05,0.00658458137607799
2015-06-08,0.00632704551276514
2015-06-09,0.00648416042720495
