"Date","SPY_vol"
2015-01-05,0.0109592105763286
2015-01-06,0.0137084966489072
2015-01-07,0.0147535663620391
2015-01-08,0.0135656816666283
2015-01-09,0.012558582414759
2015-01-12,0.0129587790423389
2015-01-13,0.0135451168753197
2015-01-14,0.013120515053976
2015-01-15,0.0130714733369923
2015-01-16,0.0140128220318807
2015-01-20,0.0129169790136584
2015-01-21,0.0118785123530838
2015-01-22,0.0109686017919385
2015-01-23,0.0102174362929995
2015-01-26,0.0101635630797158
2015-01-27,0.00944863777589758
2015-01-28,0.011112682378683
2015-01-29,0.0131671071962268
2015-01-30,0.0121360200382636
2015-02-02,0.0132028301368656
2015-02-03,0.0121735803954362
2015-02-04,0.0113092722303055
2015-02-05,0.0112051236022593
2015-02-06,0.0103932198319039
2015-02-09,0.00981645493816278
2015-02-10,0.0103435967947298
2015-02-11,0.00963812055412687
2015-02-12,0.00893979230111118
2015-02-13,0.00836457784946136
2015-02-17,0.0078207259161639
2015-02-18,0.00730603166933767
2015-02-19,0.00691835485455157
2015-02-20,0.00663703822169372
2015-02-23,0.00625957535738661
2015-02-24,0.0058881419873502
2015-02-25,0.00555630131534534
2015-02-26,0.00535963776618472
2015-02-27,0.00542462176417319
2015-03-02,0.00589327720508815
2015-03-03,0.00559013121714631
2015-03-04,0.00612258195645767
2015-03-05,0.0066242639632499
2015-03-06,0.00628357761910543
2015-03-09,0.00873946647889533
2015-03-10,0.00813657644551681
2015-03-11,0.0106276909778821
2015-03-12,0.0107149099804362
2015-03-13,0.00997969587712148
2015-03-16,0.0100494712887137
2015-03-17,0.00936816412132884
2015-03-18,0.00869444626670564
2015-03-19,0.00814455715278924
2015-03-20,0.00808625284467463
2015-03-23,0.00758733770980452
2015-03-24,0.0075239637293031
2015-03-25,0.00788371251960033
2015-03-26,0.0112437803781884
2015-03-27,0.0105205619839981
2015-03-30,0.00990230310930909
2015-03-31,0.00926647407147736
2015-04-01,0.0106248944291113
2015-04-02,0.0104218006508538
2015-04-06,0.00965056909860633
2015-04-07,0.00899546899357989
2015-04-08,0.00898236491897916
2015-04-09,0.00836562117776475
2015-04-10,0.00781802021520166
2015-04-13,0.00733169095175453
2015-04-14,0.00774024427330846
2015-04-15,0.0072335689205409
2015-04-16,0.00679600721216629
2015-04-17,0.00641867375634022
2015-04-20,0.00864924907362699
2015-04-21,0.00809941125542929
2015-04-22,0.00770968189954529
2015-04-23,0.00722726364325767
2015-04-24,0.00677525840398896
2015-04-27,0.00637187493964971
2015-04-28,0.0070737691866866
2015-04-29,0.00664752179837919
2015-04-30,0.0072539098735236
2015-05-01,0.00871241769183466
2015-05-04,0.00815879968327713
2015-05-05,0.00763472445572886
2015-05-06,0.00973166652811026
2015-05-07,0.00999560480728819
2015-05-08,0.0092820611259572
2015-05-11,0.00869495436059904
2015-05-12,0.00872256913085797
2015-05-13,0.00902856749571245
2015-05-14,0.00838984002535496
2015-05-15,0.00787719585870862
2015-05-18,0.00735772891129388
2015-05-19,0.00690054662919098
2015-05-20,0.00672376839399793
2015-05-21,0.00634400367964899
2015-05-22,0.00596877049086874
2015-05-26,0.00586194028044995
2015-05-27,0.00821470719523733
2015-05-28,0.00771302595829658
2015-05-29,0.00734566530667928
2015-06-01,0.00821255412137614
2015-06-02,0.00765962161703078
2015-06-03,0.00727525793830602
2015-06-04,0.00681548057878297
2015-06-05,0.00796511806242143
2015-06-08,0.00802853646247933
2015-06-09,0.0086693387262651
2015-06-10,0.00822280908087926
2015-06-11,0.00773360919194668
2015-06-12,0.00725136664134799
2015-06-15,0.00862335841790309
2015-06-16,0.0088187462987752
2015-06-17,0.00822645723302761
2015-06-18,0.00767969823880182
2015-06-19,0.00723385191405032
2015-06-22,0.00750239589614838
2015-06-23,0.00703867252321078
2015-06-24,0.00659434612794115
2015-06-25,0.00751324545135469
2015-06-26,0.00803271905179747
2015-06-29,0.007497063967283
2015-06-30,0.0122995586881818
2015-07-01,0.0113194319527187
2015-07-02,0.0104897210571478
2015-07-06,0.00976125947571244
2015-07-07,0.00985353030392219
2015-07-08,0.00917109826540498
2015-07-09,0.0120768869866352
2015-07-10,0.0111164006782912
2015-07-13,0.0103387463324553
2015-07-14,0.00964025149915026
2015-07-15,0.00895926328687757
2015-07-16,0.00832836948861614
2015-07-17,0.00779861941125123
2015-07-20,0.00729306550407233
2015-07-21,0.00699060591547149
2015-07-22,0.00728111288267413
2015-07-23,0.0072656037008494
2015-07-24,0.00803366402439286
2015-07-27,0.00953826244003572
2015-07-28,0.010309257286011
2015-07-29,0.00961780116255653
2015-07-30,0.0089603707790505
2015-07-31,0.00833002759560108
2015-08-03,0.00823882356099674
2015-08-04,0.00828332287853265
