"Date","AAPL_V","MSFT_V","SPY_V"
2016-01-04,-0.112148703900209,-0.60999307359554,0.625878053321144
2016-01-05,-0.309196918303763,-0.553101013529189,1.04706914841798
2016-01-06,0.0374027363962011,-0.657732626843751,0.76887208388995
2016-01-07,0.258542553041752,-0.478978034283378,1.088436773881
2016-01-08,1.33391228722524,0.292145545361737,2.18255874775353
2016-01-11,1.02648342865278,0.116012152478433,2.36767957301533
2016-01-12,0.86491397779562,-0.0488085031416316,1.88190211572156
2016-01-13,0.702063311823969,-0.178389443440153,1.47305601136307
2016-01-14,0.954041879394419,-0.0290921225868309,2.31284555968519
2016-01-15,0.969978536415869,0.161283309189117,1.85393427883401
2016-01-19,1.06857009569859,0.731717942847306,2.34087944048709
2016-01-20,0.804823273755902,0.591578854663718,1.9454173917819
2016-01-21,0.538714373707331,0.382338310307992,2.12840149133567
2016-01-22,0.300178204343732,0.200343744995006,1.68420537050221
2016-01-25,1.46730723421608,0.44177427797016,1.31630482372657
2016-01-26,1.28068937452232,0.249085074057815,1.39380495578614
2016-01-27,0.973634562305901,0.0729697228093624,1.04490272675081
2016-01-28,2.8901934553903,0.0677116115015057,0.941046639785624
2016-01-29,2.47368515352518,0.0104687429229202,0.654571224908586
2016-02-01,2.56889857689049,1.38259063957613,0.429838952137118
2016-02-02,2.21435294974884,1.13402330023844,0.192767648736383
2016-02-03,2.17716089992574,1.38317695513166,1.12327362721435
2016-02-04,2.06056157261029,1.26398672072471,0.812571263359075
2016-02-05,1.71667137058433,1.02112094395614,0.58020839050372
2016-02-08,1.75777226823927,1.46810880792171,1.12689969394083
2016-02-09,1.44413071307214,1.38211339361371,1.67091682337721
2016-02-10,1.13434543388931,1.12254770399206,1.280133866833
2016-02-11,0.92000003594202,0.881766269020026,1.04608102915018
2016-02-12,0.678055077722136,0.642566367066843,1.32211788583589
2016-02-16,0.429570121003954,0.555093551875114,1.00127261083938
2016-02-17,0.650274600141941,0.533197371348948,0.717752626001549
2016-02-18,0.544728051257427,0.740800955024111,0.465536428707992
2016-02-19,0.542489403724541,0.51059099270556,0.441975546806813
2016-02-22,0.305724187195036,0.317559595353267,0.19235784119914
2016-02-23,0.137762443561525,0.227673769646295,-0.0125365463895158
2016-02-24,0.324309735501538,0.420753661773063,0.225134809337642
2016-02-25,0.195009496578878,0.214828358131313,-0.00489984143942674
2016-02-26,0.0178800379763627,0.141571614764821,-0.188561603176009
2016-02-29,-0.182973202616007,0.0928454553557966,-0.24911241846201
2016-03-01,-0.356305594112542,0.00106071556585408,0.00684749312456805
2016-03-02,0.566276810051659,0.420158779481478,-0.166257043898829
2016-03-03,0.322939623112148,0.256192912316671,-0.35195491300217
