"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
206.380004882812,206.880004882812,204.179992675781,205.429992675781,121465900,170.125030517578
204.169998168945,204.369995117188,201.350006103516,201.720001220703,169632600,167.052612304688
202.089996337891,202.720001220703,198.860000610352,199.820007324219,209151400,165.479141235352
201.419998168945,202.720001220703,200.880004882812,202.309997558594,125346700,167.541213989258
204.009994506836,206.160003662109,203.990005493164,205.899993896484,147217800,170.514190673828
206.399993896484,206.419998168945,203.509994506836,204.25,158567300,169.14778137207
204.410003662109,204.600006103516,201.919998168945,202.649993896484,144396100,167.82275390625
204.119995117188,205.479995727539,200.509994506836,202.080001831055,214553300,167.35075378418
199.649993896484,201.100006103516,198.570007324219,200.860000610352,192991100,166.340423583984
201.630004882812,202.009994506836,198.880004882812,199.020004272461,176613900,164.816650390625
198.770004272461,201.820007324219,198.550003051758,201.630004882812,211879600,166.978057861328
202.399993896484,202.720001220703,200.169998168945,202.059997558594,130991100,167.33415222168
201.5,203.660003662109,200.940002441406,203.080001831055,122942700,168.178848266602
203.990005493164,206.259994506836,202.330001831055,206.100006103516,174356000,170.679824829102
205.789993286133,206.100006103516,204.809997558594,204.970001220703,117516800,169.743988037109
204.710006713867,205.559997558594,203.850006103516,205.449996948242,92009700,170.141571044922
202.970001220703,204.119995117188,201.740005493164,202.740005493164,134044600,167.897338867188
204.169998168945,204.289993286133,199.910003662109,200.139999389648,168514300,165.744186401367
200.380004882812,202.300003051758,198.679992675781,201.990005493164,173585400,167.276214599609
200.570007324219,202.169998168945,199.130004882812,199.449996948242,197729700,165.17268371582
200.050003051758,202.029998779297,197.860000610352,201.919998168945,163107000,167.218200683594
203,204.850006103516,202.550003051758,204.839996337891,124212900,169.63639831543
203.919998168945,205.380004882812,203.509994506836,204.059997558594,134306700,168.990417480469
204.860000610352,206.300003051758,204.770004272461,206.119995117188,97953200,170.696426391602
206.559997558594,207.240005493164,204.919998168945,205.550003051758,125672000,170.224395751953
204.770004272461,205.639999389648,204.139999389648,204.630004882812,87219000,169.462493896484
205.880004882812,207.119995117188,204.679992675781,206.809997558594,96164200,171.267929077148
