"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
27.8474998474121,27.8600006103516,26.8374996185303,27.3325004577637,212818400,24.19260597229
27.0725002288818,27.1625003814697,26.3525009155273,26.5625,257142000,23.5110607147217
26.6350002288818,26.8575000762939,26.1574993133545,26.5650005340576,263188400,23.5132694244385
26.7999992370605,27.0499992370605,26.6749992370605,26.9375,160423600,23.842981338501
27.3075008392334,28.0375003814697,27.1749992370605,27.9724998474121,237458000,24.7590751647949
28.1674995422363,28.3125,27.5524997711182,28.0025005340576,214798000,24.7856369018555
28.1499996185303,28.1574993133545,27.2000007629395,27.3125,198603200,24.1749019622803
27.8575000762939,28.2000007629395,27.2275009155273,27.5550003051758,268367600,24.3895416259766
27.2600002288818,27.6224994659424,27.125,27.4500007629395,195826400,24.2966022491455
27.5,27.5149993896484,26.6650009155273,26.7049999237061,240056000,23.637186050415
26.7574996948242,26.8950004577637,26.2999992370605,26.4974994659424,314053200,23.4535274505615
26.9599990844727,27.2425003051758,26.625,27.1800003051758,199599600,24.0576267242432
27.2374992370605,27.7649993896484,27.0674991607666,27.3875007629395,194303600,24.2412891387939
27.5650005340576,28.1175003051758,27.4300003051758,28.1000003814697,215185600,24.8719329833984
28.0750007629395,28.4375,27.8824996948242,28.2450008392334,185859200,25.0002746582031
28.4349994659424,28.5900001525879,28.2000007629395,28.2749996185303,222460000,25.0268325805664
28.1049995422363,28.1200008392334,27.2574996948242,27.2849998474121,382274800,24.1505565643311
29.4074993133545,29.5300006866455,28.8274993896484,28.8274993896484,585908400,25.5158615112305
29.0799999237061,29.7975006103516,28.8899993896484,29.7250003814697,337745600,26.3102512359619
29.6000003814697,30,29.2124996185303,29.2900009155273,334982000,25.9252300262451
29.5125007629395,29.7924995422363,29.0200004577637,29.6574993133545,250956400,26.2505111694336
29.625,29.7724990844727,29.4025001525879,29.6625003814697,207662800,26.2549304962158
29.625,30.1275005340576,29.5774993896484,29.8899993896484,280598800,26.4563064575195
30.0049991607666,30.0575008392334,29.8125,29.9850006103516,168984800,26.6451396942139
30.0049991607666,30.0625,29.6124992370605,29.7325000762939,174826400,26.4207572937012
29.6375007629395,29.9599990844727,29.6075000762939,29.9300003051758,155559200,26.5962600708008
30.0424995422363,30.5375003814697,30.0400009155273,30.5049991607666,248034000,27.1072158813477
30.6924991607666,31.2299995422363,30.625,31.2199993133545,294247200,27.7425746917725
31.5149993896484,31.8700008392334,31.3924999237061,31.6149997711182,297898000,28.0935764312744
31.8199996948242,31.8199996948242,31.4125003814697,31.7700004577637,217088800,28.2313098907471
31.8724994659424,32.2200012207031,31.7299995422363,31.9575004577637,252609600,28.3979263305664
31.9074993133545,32.1949996948242,31.8624992370605,32.1800003051758,179566800,28.5956516265869
32.1199989318848,32.2574996948242,32.0825004577637,32.1124992370605,149449600,28.535665512085
32.1549987792969,32.375,32.0125007629395,32.375,195793600,28.7689266204834
32.5050010681152,33.25,32.4150009155273,33.25,283896400,29.5464534759521
33.2350006103516,33.4000015258789,32.7924995422363,33.0424995422363,276912400,29.3620719909668
32.8899993896484,32.9000015258789,32.0374984741211,32.1974983215332,298846800,28.6111907958984
32.1974983215332,32.7174987792969,31.6525001525879,32.6049995422363,365150000,28.9733028411865
32.5,32.6425018310547,32.060001373291,32.1150016784668,248059200,28.5378875732422
32.3125,32.5699996948242,32.0750007629395,32.2724990844727,192386800,28.6778392791748
32.2400016784668,32.3800010681152,32.0224990844727,32.3400001525879,151265200,28.7378196716309
32.2750015258789,32.3899993896484,32.0800018310547,32.1349983215332,126665200,28.5556583404541
32.1450004577637,32.1875,31.4400005340576,31.6025009155273,226068400,28.0824718475342
32.0999984741211,32.3424987792969,31.5650005340576,31.6499996185303,291368400,28.1246814727783
31.9899997711182,32.3925018310547,31.2649993896484,31.7849998474121,354114000,28.2446441650391
31.6025009155273,31.8050003051758,30.9500007629395,31.1275005340576,275426400,27.6603832244873
31.1875,31.1924991607666,30.5275001525879,30.5599994659424,275756000,27.1560840606689
30.5774993896484,31.2250003814697,30.4074993133545,31.1124992370605,193450800,27.647045135498
31.1000003814697,31.3500003814697,30.6450004577637,30.8974990844727,207309200,27.4559993743896
30.9699993133545,31.2374992370605,30.7175006866455,31.2374992370605,143497200,27.7581253051758
31.4750003814697,31.8299999237061,31.4125003814697,31.7600002288818,204092400,28.2224254608154
31.75,32.2900009155273,31.5925006866455,32.1175003051758,261083600,28.5401077270508
32.1875,32.3125,31.8500003814697,31.875,183238000,28.3246250152588
32.0625,32.0999984741211,31.2900009155273,31.4750003814697,274780400,27.9691734313965
31.7800006866455,31.9624996185303,31.6299991607666,31.8024997711182,150838800,28.2601928710938
31.8075008392334,32.0099983215332,31.6399993896484,31.6725006103516,131369200,28.1446743011475
31.6350002288818,31.7049999237061,30.8449993133545,30.8449993133545,206620800,27.4093456268311
30.6900005340576,31.2199993133545,30.6499996185303,31.0599994659424,190291600,27.6004009246826
31.1424999237061,31.1749992370605,30.7275009155273,30.8125,158184800,27.3804626464844
31.0125007629395,31.6000003814697,31,31.5925006866455,188398800,28.0735912322998
31.5224990844727,31.6224994659424,31.0900001525879,31.1075000762939,168362400,27.6426086425781
31.2049999237061,31.2800006866455,30.7749996185303,31.0625,162485600,27.6026210784912
31.2574996948242,31.3899993896484,31.0475006103516,31.3299999237061,128880400,27.8403224945068
31.1175003051758,31.8775005340576,31.0825004577637,31.8374996185303,148776000,28.2913036346436
31.9099998474121,32.0299987792969,31.4950008392334,31.5025005340576,140049200,27.9936065673828
31.4624996185303,31.6000003814697,31.2425003051758,31.3999996185303,149316800,27.9025211334229
31.4624996185303,31.6450004577637,31.1650009155273,31.6399993896484,129936000,28.1157875061035
31.4874992370605,31.8024997711182,31.3150005340576,31.7749996185303,160752000,28.2357559204102
32.0924987792969,32.1425018310547,31.6525001525879,31.7124996185303,145460400,28.1802196502686
31.75,31.8225002288818,31.4775009155273,31.5750007629395,102098400,28.0580291748047
31.6025009155273,31.7824993133545,31.5025005340576,31.6949996948242,115881600,28.1646747589111
31.5699996948242,31.7749996185303,31.5275001525879,31.5424995422363,113476000,28.0291595458984
