Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,Regime,P_t
2016-01-04,-0.0140782760513423,0.625878053321144,0.0116950385735871,0.0982344393537106,-0.0438515960075276,0.0009807177257518,20.7000007629395,0.828264586778731,0,Neutral,2.9960080525087767e-197
2016-01-05,0.0016901050854336,1.04706914841798,0.0113442425567289,-0.0245218691589501,-0.0422342383603108,0.0008618037428195,19.3400001525879,0.801966958816156,0,Neutral,1.9740421931155253e-06
2016-01-06,-0.0126945784177588,0.76887208388995,0.0106478390716781,-0.0003682708004515,-0.0543158233656397,0.0008145769247825,20.5900001525879,0.75890379542371,0,Neutral,1.1773125385483089e-06
2016-01-07,-0.0242838839717319,1.088436773881,0.0116685223236347,-0.115220349672268,-0.0770041133415864,0.0007997905102245,24.9899997711182,0.811197587587747,0,Neutral,4.537779030488672e-06
2016-01-08,-0.0110371534185107,2.18255874775353,0.0117726651115977,-0.0729496216592425,-0.087135347705637,0.0007835623237329,27.0100002288818,0.79131984171363,0,Neutral,9.555548555503387e-07
2016-01-11,0.0009893528501905,2.36767957301533,0.0117609965279954,-0.177366392413494,-0.086231755548018,0.0007428194934714,24.2999992370605,0.772648260953614,0,Neutral,2.3055312764655449e-07
2016-01-12,0.008035870884445,1.88190211572156,0.0119466784059077,-0.201839956659767,-0.0788592493366828,0.0006921536137441,22.4699993133545,0.778540406306827,0,Neutral,2.380343602470303e-07
2016-01-13,-0.0252567449642216,1.47305601136307,0.0124054032655053,-0.293576075723364,-0.1018329249836,0.0007318965946941,25.2199993133545,0.777104349252059,0,Neutral,3.4615958042072326e-07
2016-01-14,0.016283294230921,2.31284555968519,0.012993866906873,-0.229045658920732,-0.0870880847393133,0.0007849255533688,23.9500007629395,0.820052189293272,0,Neutral,3.99732092300992e-07
2016-01-15,-0.0216997475418168,1.85393427883401,0.0132993334707533,-0.0613943169819301,-0.106684653568483,0.0008339924139011,27.0200004577637,0.849948301328926,0,Neutral,4.728015892293361e-07
2016-01-19,0.0013299909284887,2.34087944048709,0.012682920662964,-0.0717432163466359,-0.105495761829085,0.000789839406566,26.0499992370605,0.841082165264956,0,Neutral,9.028127373221402e-08
2016-01-20,-0.012897582815504,1.9454173917819,0.0125889567218717,-0.0843843441115671,-0.116958623812615,0.0007733033943422,27.5900001525879,0.824926785800894,0,Neutral,4.9034443941705786e-08
2016-01-21,0.0055864339935505,2.12840149133567,0.0123671237260576,-0.274000677384781,-0.112011766670742,0.000733041383011,26.6900005340576,0.801273556220474,0,Neutral,2.808340027904228e-08
2016-01-22,0.0203075885391861,1.68420537050221,0.0131838642753158,-0.100947137344152,-0.0937945188733335,0.0007502301437891,22.3400001525879,0.831635953831475,0,Neutral,9.504538597696262e-08
2016-01-25,-0.01523185520883,1.31630482372657,0.0131666556116871,0.0887379319081718,-0.107493117169112,0.0007611613722283,24.1499996185303,0.837814903586066,0,Neutral,4.0074760102683134e-08
2016-01-26,0.0135506592072332,1.39380495578614,0.0132455593431629,0.0966208763470757,-0.0953167479635602,0.0007871823265729,22.5,0.8304934673988,0,Neutral,3.622818863003592e-08
2016-01-27,-0.0109426627452098,1.04490272675081,0.0133249828045404,0.188917530388553,-0.105162424478256,0.000805554492557,23.1100006103516,0.790292546213478,0,Neutral,1.1444872181554416e-08
2016-01-28,0.0051955805470669,0.941046639785624,0.0134791685286985,0.118680260609996,-0.100501125185737,0.000821555978372,22.4200000762939,0.79707592965089,0,Neutral,7.295237044880672e-09
