Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t
14-03-2016,-0.001283291,-0.661749264,0.010177506,0.129032088,-0.036812083,0.001240872,16.92000008,0.734834012
15-03-2016,-0.001630716,-0.735981215,0.009614665,0.257516487,-0.038381489,0.001322429,16.84000015,0.731505736
16-03-2016,0.005770503,-0.776673074,0.00916463,0.329379044,-0.032816425,0.00140441,14.98999977,0.713546487
17-03-2016,0.006323985,-0.895298937,0.008710774,0.384906421,-0.02668059,0.001515834,14.43999958,0.689058814
18-03-2016,0.003922091,-0.997310791,0.008566839,0.294505242,-0.022855647,0.001591497,14.02000046,0.672528693
21-03-2016,0.001417803,-1.096489088,0.00853631,0.268926081,-0.021469267,0.001652861,13.78999996,0.663194763
22-03-2016,-0.000537778,-1.187022735,0.00818074,0.440309509,-0.021995358,0.001686721,14.17000008,0.65625375
23-03-2016,-0.006621308,-1.19365866,0.007705942,0.723993878,-0.028449637,0.001741802,14.93999958,0.576459141
24-03-2016,-0.000442971,-0.951411025,0.007728247,0.808068496,-0.028879911,0.001785717,14.73999977,0.574299716
28-03-2016,0.000590851,-0.97862949,0.007429306,1.030432889,-0.028305954,0.001820273,15.23999977,0.575579193
29-03-2016,0.009207628,-1.077713566,0.007513534,0.825330695,-0.01931764,0.00183106,13.81999969,0.60205469
30-03-2016,0.004377897,-1.152386838,0.007122524,0.881623865,-0.015014902,0.001823316,13.56000042,0.585764943
31-03-2016,-0.002429915,-1.227311491,0.00554228,0.091815185,-0.017405427,0.001913504,13.94999981,0.393575964
01-04-2016,0.00678873,-1.197895754,0.005616422,0.055532237,-0.010712164,0.001930746,13.10000038,0.402646624
04-04-2016,-0.003242708,-1.263377095,0.005717329,0.192543073,-0.01391494,0.001952089,14.11999989,0.405151106
05-04-2016,-0.010038408,-1.23562458,0.00625464,0.114318502,-0.023764147,0.001894709,15.42000008,0.501734439
06-04-2016,0.010862218,-0.684378332,0.006603761,0.037633212,-0.013102258,0.00177703,14.09000015,0.510488199
07-04-2016,-0.012038237,-0.793676978,0.006708026,-0.0338978,-0.024911543,0.001673476,16.15999985,0.627913846
08-04-2016,0.002693233,-0.358433009,0.006669539,0.008200086,-0.022281863,0.001594074,15.35999966,0.655452478
11-04-2016,-0.002350291,-0.518733835,0.006720192,0.067464731,-0.024577087,0.001485848,16.26000023,0.670635467
12-04-2016,0.00926992,-0.584512601,0.006116696,-0.347882478,-0.015492955,0.001332085,14.85000038,0.662263236
13-04-2016,0.010050414,-0.70853659,0.006400316,-0.415487301,-0.005548362,0.001192772,13.84000015,0.682956584
14-04-2016,4.81E-05,-0.818786162,0.006369389,-0.454580994,-0.005500497,0.001078231,13.72000027,0.7196053
15-04-2016,-0.001106398,-0.931842691,0.006320902,-0.324442992,-0.0066002,0.000981988,13.61999989,0.652301409
18-04-2016,0.007002089,-0.873056849,0.006349659,-0.323846757,0,0.000905866,13.35000038,0.550697682
19-04-2016,0.003149264,-0.966543298,0.006335963,-0.310441309,0,0.000823411,13.23999977,0.623332171
20-04-2016,0.000952456,-1.061651523,0.00633623,-0.299658166,0,0.000719378,13.27999973,0.592571558
21-04-2016,-0.005393057,-1.147356526,0.006491293,-0.222923947,-0.00537854,0.000628925,13.94999981,0.588061051
22-04-2016,0,-0.909901475,0.006258426,-0.310877387,-0.00537854,0.000575726,13.22000027,0.427031243
25-04-2016,-0.001724236,-0.99526891,0.006282782,-0.282160498,-0.007092025,0.000504119,14.07999992,0.423425271
26-04-2016,0.00148492,-0.992120581,0.006280979,-0.303174336,-0.005616541,0.000450425,13.96000004,0.421963902
27-04-2016,0.002056148,-1.086597221,0.006019964,-0.285724952,-0.003569838,0.000374202,13.77000046,0.27812391
28-04-2016,-0.009117086,-1.170817115,0.006349476,-0.144724832,-0.012613091,0.000325114,15.22000027,0.312758425
29-04-2016,-0.005413526,-0.779109404,0.006446939,-0.102701162,-0.017943894,0.00028021,15.69999981,0.311701161
02-05-2016,0.007916973,-0.579539846,0.006509104,-0.092807279,-0.010138124,0.000232291,14.68000031,0.308736703
03-05-2016,-0.008741317,-0.703212659,0.006761935,-0.076770896,-0.018753113,0.000197177,15.60000038,0.272852058
04-05-2016,-0.005593811,-0.436432915,0.006497078,-0.031258145,-0.024226699,0.000194778,16.04999924,0.256118532
05-05-2016,-0.000195006,-0.248374674,0.006019507,-0.055160992,-0.024416963,0.000208522,15.90999985,0.212556688
06-05-2016,0.003652506,-0.390576012,0.005440227,0.030451168,-0.020847125,0.000282894,14.72000027,0.192100435
09-05-2016,0.000825407,-0.538884528,0.005416273,0.077535575,-0.020038591,0.000335482,14.56999969,0.186496015
10-05-2016,0.012357579,-0.677253012,0.005975438,0.118882771,-0.007853507,0.000324994,13.63000011,0.248888978
11-05-2016,-0.009398664,-0.781637566,0.006075021,0.179512718,-0.017134675,0.000325892,14.68999958,0.19810352
12-05-2016,0.000290328,-0.445183382,0.00563591,0.199845414,-0.01684928,0.000348425,14.40999985,0.118636472
13-05-2016,-0.008752531,-0.557603943,0.005926057,0.242614682,-0.025416788,0.000350987,15.03999996,0.095087037
16-05-2016,0.009816957,-0.250037837,0.006356935,0.179750169,-0.015802231,0.00035181,14.68000031,0.216339927
17-05-2016,-0.009377357,-0.405351864,0.006429683,0.32810472,-0.024988267,0.000354173,15.56999969,0.238665837
18-05-2016,0.000292754,-0.093608961,0.006367209,0.389700722,-0.024702786,0.000354912,15.94999981,0.247932355
19-05-2016,-0.003470927,-0.282124596,0.006367493,0.487050637,-0.028082104,0.000355645,16.32999992,0.25359964
