,Recovery,Stable Bull,Correction,Panic,Bull Recovery
Recovery,0.9910315498377452,8.985332577892245e-53,2.94090744556384e-23,0.001992430279287853,0.006976019882966907
Stable Bull,3.520909304060975e-88,0.9693683469713847,0.009472462042476324,8.092073770071926e-133,0.021159190986138995
Correction,0.008056365784738296,0.011613720609524293,0.9622082848581501,0.0036290506646450165,0.014492578082942192
Panic,0.004766879436403431,5.252902526386881e-125,4.390021636526162e-19,0.9761108400768675,0.019122280486729
Bull Recovery,4.3361317487944167e-54,0.02420576929528698,0.02124149071386346,0.003427226243292753,0.9511255137475568
