Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,State_0_Prob,State_1_Prob,State_2_Prob,Regime,P_t
2016-01-04,-0.0140782760513423,0.625878053321144,0.0116950385735871,0.0982344393537106,-0.0438515960075276,0.0009807177257518,20.7000007629395,0.828264586778731,0,1.0,0.0,2.194985479054945e-143,Neutral,2.194985479054945e-143
2016-01-05,0.0016901050854336,1.04706914841798,0.0113442425567289,-0.0245218691589501,-0.0422342383603108,0.0008618037428195,19.3400001525879,0.801966958816156,0,0.999999209580295,1.0705849157634935e-14,7.904183903445823e-07,Neutral,7.904183903445823e-07
2016-01-06,-0.0126945784177588,0.76887208388995,0.0106478390716781,-0.0003682708004515,-0.0543158233656397,0.0008145769247825,20.5900001525879,0.75890379542371,0,0.999998906649723,5.492102120291371e-19,1.09334861078793e-06,Neutral,1.09334861078793e-06
2016-01-07,-0.0242838839717319,1.088436773881,0.0116685223236347,-0.115220349672268,-0.0770041133415864,0.0007997905102245,24.9899997711182,0.811197587587747,0,0.9998668887799487,9.144646493872504e-37,0.0001331112185196225,Neutral,0.0001331112185196225
2016-01-08,-0.0110371534185107,2.18255874775353,0.0117726651115977,-0.0729496216592425,-0.087135347705637,0.0007835623237329,27.0100002288818,0.79131984171363,0,0.9998172640006739,8.895319572989054e-46,0.00018273599827178582,Neutral,0.00018273599827178582
2016-01-11,0.0009893528501905,2.36767957301533,0.0117609965279954,-0.177366392413494,-0.086231755548018,0.0007428194934714,24.2999992370605,0.772648260953614,0,0.9999586962202652,3.455774359332746e-44,4.130378057158935e-05,Neutral,4.130378057158935e-05
2016-01-12,0.008035870884445,1.88190211572156,0.0119466784059077,-0.201839956659767,-0.0788592493366828,0.0006921536137441,22.4699993133545,0.778540406306827,0,0.9998841873877635,9.379754559786522e-37,0.00011581261389450604,Neutral,0.00011581261389450604
2016-01-13,-0.0252567449642216,1.47305601136307,0.0124054032655053,-0.293576075723364,-0.1018329249836,0.0007318965946941,25.2199993133545,0.777104349252059,0,0.9946893732284513,1.0996407370464791e-56,0.0053106267700722964,Neutral,0.0053106267700722964
2016-01-14,0.016283294230921,2.31284555968519,0.012993866906873,-0.229045658920732,-0.0870880847393133,0.0007849255533688,23.9500007629395,0.820052189293272,0,0.9886769959336992,3.6655757444966116e-47,0.011323004064955311,Neutral,0.011323004064955311
2016-01-15,-0.0216997475418168,1.85393427883401,0.0132993334707533,-0.0613943169819301,-0.106684653568483,0.0008339924139011,27.0200004577637,0.849948301328926,0,0.9715777627204136,5.473789054695546e-63,0.02842223727781024,Neutral,0.02842223727781024
2016-01-19,0.0013299909284887,2.34087944048709,0.012682920662964,-0.0717432163466359,-0.105495761829085,0.000789839406566,26.0499992370605,0.841082165264956,0,0.9748904742804592,4.2079340415145576e-60,0.025109525720007873,Neutral,0.025109525720007873
2016-01-20,-0.012897582815504,1.9454173917819,0.0125889567218717,-0.0843843441115671,-0.116958623812615,0.0007733033943422,27.5900001525879,0.824926785800894,0,0.9772253936231873,8.878020627227117e-70,0.02277460637756565,Neutral,0.02277460637756565
2016-01-21,0.0055864339935505,2.12840149133567,0.0123671237260576,-0.274000677384781,-0.112011766670742,0.000733041383011,26.6900005340576,0.801273556220474,0,0.9892708257927352,1.5780973966124002e-64,0.01072917420814992,Neutral,0.01072917420814992
2016-01-22,0.0203075885391861,1.68420537050221,0.0131838642753158,-0.100947137344152,-0.0937945188733335,0.0007502301437891,22.3400001525879,0.831635953831475,0,0.9960796857499293,3.698882462611003e-49,0.00392031424843867,Neutral,0.00392031424843867
2016-01-25,-0.01523185520883,1.31630482372657,0.0131666556116871,0.0887379319081718,-0.107493117169112,0.0007611613722283,24.1499996185303,0.837814903586066,0,0.998307032377328,2.5160992361677393e-58,0.0016929676217473572,Neutral,0.0016929676217473572
2016-01-26,0.0135506592072332,1.39380495578614,0.0132455593431629,0.0966208763470757,-0.0953167479635602,0.0007871823265729,22.5,0.8304934673988,0,0.999697341486346,9.646422149823872e-48,0.0003026585124011649,Neutral,0.0003026585124011649
2016-01-27,-0.0109426627452098,1.04490272675081,0.0133249828045404,0.188917530388553,-0.105162424478256,0.000805554492557,23.1100006103516,0.790292546213478,0,0.9999164317373639,2.277646833502819e-54,8.356826415074247e-05,Neutral,8.356826415074247e-05
2016-01-28,0.0051955805470669,0.941046639785624,0.0134791685286985,0.118680260609996,-0.100501125185737,0.000821555978372,22.4200000762939,0.79707592965089,0,0.9999669881027594,2.0659336430761983e-49,3.3011897287237126e-05,Neutral,3.3011897287237126e-05
2016-01-29,0.024084815504545,0.654571224908586,0.0144867773028338,0.276925198060046,-0.0785738636657122,0.0009286675781779,20.2000007629395,0.81227027938053,0,0.9998823342612838,4.1007272505309875e-37,0.00011766573828248118,Neutral,0.00011766573828248118
2016-02-01,-0.0003614540171819,0.429838952137118,0.0144716532801835,0.210870478754336,-0.0789068566597738,0.0010057580256673,19.9799995422363,0.809795187426109,0,0.9999850957193509,1.9175907667404817e-33,1.4904279736198262e-05,Neutral,1.4904279736198262e-05
2016-02-02,-0.0181864135075145,0.192767648736383,0.0147774707490679,0.227970809489339,-0.0955068328991568,0.0010831672655208,21.9799995422363,0.80966139874838,0,0.9998851807470047,1.4857826449838486e-47,0.00011481925187759409,Neutral,0.00011481925187759409
2016-02-03,0.0059772657644003,1.12327362721435,0.0146949320157849,0.0648402012942085,-0.0900842468831408,0.0011364878462385,21.6499996185303,0.793669791212305,0,0.9999492265936031,7.861720841328641e-44,5.0773405815928215e-05,Neutral,5.0773405815928215e-05
2016-02-04,0.001566875516322,0.812571263359075,0.0146932583228406,0.065995067857503,-0.0886574046174799,0.001146335514278,21.8400001525879,0.809302525493418,0,0.9998041916595758,9.648054907678942e-42,0.00019580834162944878,Neutral,0.00019580834162944878
2016-02-05,-0.0192340940545748,0.58020839050372,0.0149894203607769,0.0697811210452487,-0.106018753669552,0.0010848252218774,23.3799991607666,0.814847075221928,0,0.9968316312132522,8.51705740785976e-58,0.003168368786650049,Neutral,0.003168368786650049
2016-02-08,-0.0135525295880914,1.12689969394083,0.014386794772001,0.121104801007947,-0.11805273135179,0.0010497846218981,26.0,0.775743076970074,0,0.9938012031973701,7.095565812002882e-69,0.006198796803802046,Neutral,0.006198796803802046
2016-02-09,5.40759345337705e-05,1.67091682337721,0.0142477676359699,0.0232355043655334,-0.118005037939507,0.0009995092726275,26.5400009155273,0.786554994754878,0,0.9915173748697982,1.0266889893658063e-69,0.008482625130285113,Neutral,0.008482625130285113
2016-02-10,-0.0008633191429865,1.280133866833,0.0142364159349489,0.0420275215036911,-0.11876615248462,0.0009294889585912,26.2900009155273,0.783877198472958,0,0.9899877949962681,1.2212390002257336e-68,0.01001220500401794,Neutral,0.01001220500401794
